x-axis,1,2
second,Volt,Volt
-273.00000E-03,,
-272.93490E-03,,
-272.86979E-03,,
-272.80469E-03,,
-272.73958E-03,,
-272.67448E-03,-4.89557E-03,+3.25895101E+00
-272.60938E-03,-4.89557E-03,+3.25895101E+00
-272.54427E-03,+3.33559E-03,+3.25895101E+00
-272.47917E-03,+1.92353E-03,+3.25895101E+00
-272.41406E-03,+2.11951E-03,+3.25895101E+00
-272.34896E-03,-3.52873E-03,+3.25895101E+00
-272.28385E-03,-3.94582E-03,+3.25895101E+00
-272.21875E-03,-1.41818E-03,+3.25895101E+00
-272.15365E-03,+697.40E-06,+3.25895101E+00
-272.08854E-03,+4.96875E-03,+3.25895101E+00
-272.02344E-03,+4.69237E-03,+3.25895101E+00
-271.95833E-03,+134.58E-06,+3.25895101E+00
-271.89323E-03,+2.33056E-03,+3.25895101E+00
-271.82813E-03,-2.46843E-03,+3.25895101E+00
-271.76302E-03,+1.70745E-03,+3.25895101E+00
-271.69792E-03,+4.63710E-03,+3.25895101E+00
-271.63281E-03,+7.49137E-03,+3.25895101E+00
-271.56771E-03,+948.65E-06,+3.25895101E+00
-271.50260E-03,-6.34783E-03,+3.25895101E+00
-271.43750E-03,-7.40311E-03,+3.25895101E+00
-271.37240E-03,-12.85537E-03,+3.25533292E+00
-271.30729E-03,-4.03627E-03,+3.25754397E+00
-271.24219E-03,+7.85318E-03,+3.25533292E+00
-271.17708E-03,+10.89840E-03,+3.25392588E+00
-271.11198E-03,+6.68232E-03,+3.25754397E+00
-271.04688E-03,+8.91850E-03,+3.25895101E+00
-270.98177E-03,+7.80795E-03,+3.25895101E+00
-270.91667E-03,-2.61919E-03,+3.25895101E+00
-270.85156E-03,-2.47848E-03,+3.25895101E+00
-270.78646E-03,+446.14E-06,+3.25895101E+00
-270.72135E-03,-5.05135E-03,+3.25895101E+00
-270.65625E-03,-6.32270E-03,+3.25895101E+00
-270.59115E-03,-4.00110E-03,+3.25895101E+00
-270.52604E-03,-9.59406E-03,+3.25895101E+00
-270.46094E-03,+3.59187E-03,+3.25895101E+00
-270.39583E-03,-9.13678E-03,+3.25895101E+00
-270.33073E-03,-10.93577E-03,+3.25895101E+00
-270.26563E-03,-9.69456E-03,+3.25895101E+00
-270.20052E-03,-548.83E-06,+3.25895101E+00
-270.13542E-03,+2.24011E-03,+3.25895101E+00
-270.07031E-03,+10.20996E-03,+3.25895101E+00
-270.00521E-03,+11.72755E-03,+3.25895101E+00
-269.94010E-03,+5.54162E-03,+3.25895101E+00
